state,x,y
Andaman and Nicobar Islands,172,-222
Andhra Pradesh,-52,-136
Arunachal Pradesh,208,116
Assam,177,75
Bihar,44,52
Chhattisgarh,-22,-47
Dadra and Nagar Haveli and Daman and Diu,-169,-67
Delhi,-54,119
Goa,-150,-130
Gujarat,-201,-6
Haryana,-72,125
Himachal Pradesh,-54,165
Jharkhand,7,-14
Karnataka,-123,-129
Kerala,-112,-241
Lakshadweep,-168,-257
Madhya Pradesh,-73,15
Maharashtra,-123,-56
Manipur,193,46
Meghalaya,150,32
Mizoram,177,5
Nagaland,205,74
Odisha,41,-34
Puducherry,-51,-219
Punjab,-84,166
Rajasthan,-107,87
Sikkim,145,100
Tamil Nadu,-73,-235
Telangana,-64,-84
Tripura,160,42
Chandigarh,-61,158
Jammu and Kashmir,-65,229
Ladakh,-37,242
Uttar Pradesh,-29,84
Uttarakhand,-18,145
West Bengal,90,-25